month,state,district,enrol_age_0_5,enrol_age_5_17,enrol_age_18_greater,demo_demo_age_5_17,demo_demo_age_17_,bio_bio_age_5_17,bio_bio_age_17_
2025-03-01,Arunachal Pradesh,Lower Dibang Valley,0.0,0.0,0.0,36.0,249.0,80.0,117.0
2025-03-01,Arunachal Pradesh,Lower Siang,0.0,0.0,0.0,22.0,66.0,26.0,12.0
2025-03-01,Arunachal Pradesh,Lower Subansiri,0.0,0.0,0.0,41.0,280.0,81.0,128.0
2025-03-01,Arunachal Pradesh,Namsai,0.0,0.0,0.0,50.0,553.0,213.0,274.0
2025-03-01,Arunachal Pradesh,Pakke Kessang,0.0,0.0,0.0,0.0,0.0,12.0,6.0
2025-03-01,Arunachal Pradesh,Papum Pare,0.0,0.0,0.0,163.0,1311.0,345.0,717.0
2025-03-01,Arunachal Pradesh,Shi-Yomi,0.0,0.0,0.0,0.0,0.0,14.0,12.0
2025-03-01,Arunachal Pradesh,Siang,0.0,0.0,0.0,25.0,159.0,54.0,63.0
2025-03-01,Arunachal Pradesh,Tawang,0.0,0.0,0.0,27.0,117.0,120.0,78.0
2025-03-01,Arunachal Pradesh,Tirap,0.0,0.0,0.0,18.0,235.0,61.0,41.0
2025-03-01,Arunachal Pradesh,Upper Siang,0.0,0.0,0.0,12.0,40.0,53.0,72.0
2025-03-01,Arunachal Pradesh,Upper Subansiri,0.0,0.0,0.0,106.0,570.0,217.0,342.0
2025-03-01,Arunachal Pradesh,West Kameng,0.0,0.0,0.0,25.0,116.0,188.0,425.0
2025-03-01,Arunachal Pradesh,West Siang,0.0,0.0,0.0,110.0,1156.0,212.0,175.0
2025-03-01,Assam,Baksa,11.0,14.0,13.0,397.0,4438.0,1333.0,527.0
2025-03-01,Assam,Barpeta,24.0,34.0,10.0,821.0,9181.0,8751.0,2053.0
2025-03-01,Assam,Biswanath,0.0,0.0,0.0,227.0,2732.0,524.0,317.0
2025-03-01,Assam,Bongaigaon,25.0,33.0,31.0,699.0,8681.0,3011.0,1170.0
2025-03-01,Assam,Cachar,0.0,0.0,0.0,1234.0,10000.0,1988.0,2199.0
2025-03-01,Assam,Charaideo,0.0,0.0,0.0,145.0,1953.0,415.0,202.0
2025-03-01,Assam,Chirang,12.0,29.0,15.0,179.0,1711.0,1611.0,679.0
2025-03-01,Assam,Darrang,0.0,0.0,0.0,661.0,5819.0,663.0,942.0
2025-03-01,Assam,Dhemaji,20.0,46.0,19.0,534.0,5979.0,1622.0,834.0
2025-03-01,Assam,Dhubri,89.0,229.0,98.0,1070.0,10824.0,6765.0,1655.0
2025-03-01,Assam,Dibrugarh,10.0,12.0,14.0,338.0,5542.0,1444.0,2315.0
2025-03-01,Assam,Goalpara,0.0,0.0,0.0,768.0,6461.0,715.0,734.0
2025-03-01,Assam,Golaghat,0.0,0.0,0.0,587.0,8416.0,704.0,704.0
2025-03-01,Assam,Hailakandi,0.0,0.0,0.0,211.0,1822.0,355.0,439.0
2025-03-01,Assam,Hojai,27.0,42.0,20.0,319.0,3439.0,1585.0,1239.0
2025-03-01,Assam,Jorhat,0.0,0.0,0.0,320.0,5231.0,867.0,571.0
2025-03-01,Assam,Kamrup,13.0,20.0,13.0,319.0,5222.0,2602.0,1197.0
2025-03-01,Assam,Kamrup Metro,0.0,0.0,0.0,579.0,5320.0,1936.0,1525.0
2025-03-01,Assam,Karbi Anglong,0.0,0.0,0.0,675.0,6192.0,1984.0,1047.0
2025-03-01,Assam,Karimganj,0.0,0.0,0.0,567.0,5374.0,963.0,859.0
2025-03-01,Assam,Kokrajhar,91.0,169.0,80.0,538.0,3272.0,3407.0,873.0
2025-03-01,Assam,Lakhimpur,25.0,34.0,42.0,577.0,9766.0,1470.0,1353.0
2025-03-01,Assam,Majuli,0.0,0.0,0.0,55.0,569.0,343.0,101.0
2025-03-01,Assam,Marigaon,117.0,184.0,245.0,1006.0,7948.0,2305.0,1218.0
2025-03-01,Assam,Nagaon,19.0,15.0,22.0,1216.0,16723.0,3208.0,5081.0
2025-03-01,Assam,Nalbari,0.0,0.0,0.0,509.0,4658.0,2028.0,335.0
2025-03-01,Assam,North Cachar Hills,0.0,0.0,0.0,74.0,648.0,79.0,104.0
2025-03-01,Assam,Sibsagar,0.0,0.0,0.0,146.0,1460.0,801.0,310.0
2025-03-01,Assam,Sonitpur,10.0,28.0,43.0,802.0,9796.0,1830.0,1158.0
2025-03-01,Assam,South Salmara Mankachar,0.0,0.0,0.0,197.0,3153.0,249.0,133.0
2025-03-01,Assam,Tinsukia,84.0,170.0,101.0,499.0,7786.0,1135.0,846.0
2025-03-01,Assam,Udalguri,10.0,46.0,34.0,367.0,4869.0,2332.0,951.0
2025-03-01,Assam,West Karbi Anglong,0.0,0.0,0.0,56.0,360.0,76.0,159.0
2025-03-01,Bihar,Araria,0.0,0.0,0.0,2774.0,32707.0,13043.0,13990.0
2025-03-01,Bihar,Arwal,0.0,0.0,0.0,558.0,5961.0,1438.0,3294.0
2025-03-01,Bihar,Aurangabad,0.0,0.0,0.0,2788.0,23698.0,6082.0,7741.0
2025-03-01,Bihar,Banka,0.0,0.0,0.0,2100.0,23353.0,6904.0,7892.0
